Continent;Pays;Capitale;Nom et prénom du dirigeant;Rôle / titre;Précision;Vérifié le;Source dirigeant;Source capitale / continent;Code ISO
Afrique;Afrique du Sud;Pretoria;Cyril Ramaphosa;Président;Pretoria est la capitale exécutive retenue pour le quiz. Le Cap et Bloemfontein accueillent respectivement les fonctions législative et judiciaire.;2026-09-20;https://www.cia.gov/resources/world-leaders/foreign-governments/south-africa;https://www.gov.za/about-sa/south-africa-glance;ZA
Afrique;Algérie;Alger;Abdelmadjid Tebboune;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;DZ
Afrique;Angola;Luanda;João Lourenço;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;AO
Afrique;Botswana;Gaborone;Duma Boko;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;BW
Afrique;Burkina Faso;Ouagadougou;Ibrahim Traoré;Président de transition;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;BF
Afrique;Burundi;Gitega;Évariste Ndayishimiye;Président;"Gitega est la capitale politique ; Bujumbura reste la capitale économique.";2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://www.diplomatie.gouv.fr/fr/dossiers-pays/burundi/presentation-du-burundi/;BI
Afrique;Bénin;Porto-Novo;Romuald Wadagni;Président;Porto-Novo est la capitale officielle. Cotonou est le siège principal du gouvernement, mais n'est pas retenue comme réponse.;2026-09-20;https://www.cia.gov/resources/world-leaders/foreign-governments/benin;https://www.gouv.bj/;BJ
Afrique;Cameroun;Yaoundé;Paul Biya;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;CM
Afrique;Cap-Vert;Praia;José Maria Neves;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;CV
Afrique;Comores;Moroni;Azali Assoumani;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;KM
Afrique;Côte d'Ivoire;Yamoussoukro;Alassane Ouattara;Président;Yamoussoukro est la capitale officielle. Abidjan est le principal centre économique, mais n'est pas retenue comme réponse.;2026-09-20;https://www.cia.gov/resources/world-leaders/foreign-governments/cote-divoire;https://www.gouv.ci/;CI
Afrique;Djibouti;Djibouti;Ismaïl Omar Guelleh;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;DJ
Afrique;Eswatini;Mbabane;Mswati III;Roi et chef d'État;Mbabane est la capitale administrative retenue pour le quiz. Lobamba est la capitale royale et législative.;2026-09-20;https://www.cia.gov/resources/world-leaders/foreign-governments/eswatini;https://www.gov.sz/;SZ
Afrique;Gabon;Libreville;Brice Oligui Nguema;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;GA
Afrique;Gambie;Banjul;Adama Barrow;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;GM
Afrique;Ghana;Accra;John Mahama;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;GH
Afrique;Guinée;Conakry;Mamady Doumbouya;Président;;2026-09-20;https://en.wikipedia.org/wiki/List_of_current_heads_of_state_and_government;https://github.com/lorey/list-of-countries/blob/master/csv/countries.csv;GN
